"","Slice","""Total Area""","accession_name","leaf_no"
"1","scan_1","Total Area","IITA_TMS_IBA980581","1"
"2","scan_2","Total Area","IITA_TMS_IBA980581","2"
"3","scan_3","Total Area","IITA_TMS_IBA980581","3"
"4","scan_4","Total Area","IITA_TMS_IBA980581","4"
"5","scan_5","Total Area","IITA_TMS_IBA980581","5"
"6","scan_6","Total Area","IITA_TMS_IBA980581","6"
"7","scan_7","Total Area","IITA_TMS_IBA980581","7"
"8","scan_8","Total Area","IITA_TMS_IBA980581","8"
"9","scan_9","Total Area","IITA_TMS_IBA980581","9"
"10","scan_10","Total Area","IITA_TMS_IBA980581","10"
