Environment,Obs,Sim,r,rmse,nrmse,d,Total Clones
Abuja19,8.9,9.4,0.28,3,13,0.58,67
Ago17,11.3,9.7,0.26,2.7,14,0.5,36
Ago18,9.3,11.4,-0.1,4.5,24,0.23,36
Ago19,14.4,9.9,0.48,5.3,20,0.47,36
Ibadan17,14.2,11.3,0.22,4.7,13,0.51,33
Ibadan18,16,13.4,0.48,4.3,11,0.62,57
Ibadan19,8.6,8.4,0.06,3.1,14,0.41,66
Ikenne17,11.4,11.7,0.57,2.2,9,0.74,67
Ikenne18,5.4,14.3,0.24,9.4,57,0.24,67
Ikenne19,13.5,11.6,0.59,3.6,10,0.72,67
Mokwa17,12.1,3,0.35,9.7,26,0.38,63
Mokwa18,6.4,5.3,0.43,2.7,10,0.63,67
Mokwa19,6,6.4,0.25,2.4,17,0.47,36
Onne18,6.1,10.9,0.38,5.8,33,0.36,67
Ubiaja19,5,10.1,0.44,5.7,32,0.38,67
Umudike18,11.4,8.8,0.51,3.7,13,0.61,67
