Clone,r,RMSE,nRMSE,d,Total ENV
IITA-TMS-IBA000070,0.09,5.3,13,0.49,16
IITA-TMS-IBA30572,0.35,3.3,10,0.6,16
IITA-TMS-IBA980581,0.15,3.9,13,0.5,16
IITA-TMS-IBA982101,0.46,3.4,11,0.65,16
TMEB419,-0.24,5,17,0.38,16
TMS13F1021P0008,0.36,5,9,0.51,14
TMS13F1049P0001,0.2,3.6,12,0.51,13
TMS13F1114P0001,-0.01,5.2,12,0.33,14
TMS13F1126P0003,0.08,3.8,11,0.36,11
TMS13F1182P0002,-0.11,5.3,12,0.34,14
TMS13F1304P0003,-0.25,7.2,12,0.25,13
TMS13F1315P0008,0.32,3.6,10,0.6,13
TMS13F1376P0018,-0.27,11.1,19,0.36,13
TMS13F1400P0001,0.4,2.8,14,0.62,13
TMS13F1461P0002,0.08,4.9,13,0.39,14
TMS13F2061P0005,0.09,4.5,11,0.46,14
TMS13F2207P0001,0.22,5,11,0.44,14
TMS14F1001P0004,0.38,4.4,9,0.58,14
TMS14F1013P0007,-0.09,5.3,12,0.37,13
TMS14F1014P0016,-0.36,4.6,15,0.24,12
TMS14F1014P0017,0.01,3.4,12,0.38,11
TMS14F1016P0006,0.08,6,11,0.46,14
TMS14F1019P0015,-0.01,5,11,0.36,13
TMS14F1022P0003,0.09,5.4,12,0.46,13
TMS14F1022P0006,0,5.9,11,0.39,14
TMS14F1035P0004,0.12,5.6,12,0.48,14
TMS14F1035P0007,-0.08,5.9,12,0.36,14
TMS14F1036P0007,0.26,5.9,11,0.55,14
TMS14F1049P0001,0.13,4.2,11,0.47,14
TMS14F1098P0013,-0.06,4.6,13,0.37,12
TMS14F1120P0003,0.22,3.6,12,0.49,14
TMS14F1125P0010,0.05,5.1,12,0.44,13
TMS14F1131P0001,0.24,5.1,10,0.47,12
TMS14F1146P0002,0.3,5.5,14,0.57,13
TMS14F1159P0003,-0.1,4.5,13,0.31,13
TMS14F1194P0002,0.07,6.1,21,0.39,14
TMS14F1195P0004,0.11,4,13,0.32,13
TMS14F1195P0005,0.53,4,9,0.73,14
TMS14F1196P0003,-0.42,5.7,15,0.19,12
TMS14F1208P0007,0.11,4.7,11,0.39,12
TMS14F1223P0007,0.05,5,12,0.43,14
TMS14F1224P0004,0.21,5.7,11,0.5,11
TMS14F1262P0002,0.12,5.8,13,0.52,14
TMS14F1278P0003,0.02,4.7,12,0.44,13
TMS14F1285P0006,0.23,3.8,10,0.4,11
TMS14F1285P0017,0.02,5.4,13,0.45,14
TMS14F1287P0008,-0.3,7.2,16,0.31,13
TMS14F1288P0008,0.02,3.1,11,0.32,12
TMS14F1291P0003,-0.18,8.6,15,0.41,13
TMS14F1291P0011,-0.29,6,14,0.36,14
TMS14F1291P0012,-0.03,5.1,12,0.38,13
TMS14F1292P0012,0.06,3.4,18,0.32,12
TMS14F1295P0012,0.12,4.8,12,0.48,13
TMS14F1297P0019,-0.38,5.9,14,0.25,14
TMS14F1299P0007,0.2,4.5,11,0.52,13
TMS14F1300P0002,0.2,5,13,0.54,13
TMS14F1300P0008,0.42,4.2,10,0.66,14
TMS14F1301P0004,0.22,6.8,14,0.51,13
TMS14F1301P0013,0.1,5.5,14,0.46,13
TMS14F1303P0012,-0.22,6.1,15,0.36,14
TMS14F1306P0008,0.04,4.8,12,0.45,13
TMS14F1306P0015,0.26,5,10,0.55,14
TMS14F1306P0020,-0.03,5.7,12,0.36,14
TMS14F1310P0004,0.34,4.5,10,0.57,14
TMS14F1310P0015,-0.22,7.7,15,0.39,13
TMS14F1311P0002,0.16,4.7,11,0.47,14
TMS14F1312P0003,-0.1,5.3,13,0.29,14
