Trial,Ntraits,VarGmean,VarEmean,H2mean,Relmean,DvPrb
17.GS.C2.setA.UYT.36.AG,2,64.8438199671135,63.649717298473,0.506967550105461,0.546442075387829,1.24505482850076e-06
17.GS.C2.setA.UYT.36.IB,2,112.865387266122,132.39399098076,0.460238989544119,0.488097106625521,1.83369145324489e-05
17.GS.C2.setA.UYT.36.IK,2,77.5987383096573,50.4734915262667,0.607274913185204,0.639248988433503,2.14861994468039e-09
17.GS.C2.setA.UYT.36.MK,2,98.8353711567311,159.960594767138,0.375599738845276,0.530605730756593,0.00441062854918225
17.GS.C2.setB.UYT.36.AG,2,25.8626613317432,208.139475454153,0.114009662864957,0.265848697866395,0.270681931169086
17.GS.C2.setB.UYT.36.MK,2,180.888483718129,115.61035969322,0.609981189413339,0.648717418013834,7.74448405841165e-09
18.GS.C2.setA.UYT.36.IB,2,84.9065859847755,96.8609210225903,0.448254584750055,0.561788041703801,5.33095001525495e-05
18.GS.C2.setA.UYT.36.IK,2,43.3162390777697,53.5468136639155,0.474725293448815,0.512276774689058,0.000802651348981234
18.GS.C2.setA.UYT.36.KN,2,23.7198261805235,114.947943463297,0.160665745028519,0.457211613972657,0.176148207686897
18.GS.C2.setA.UYT.36.MK,2,41.8730398482573,109.11673725162,0.28309589765054,0.529479482720475,0.0256380192030522
18.GS.C2.setA.UYT.36.ON,2,17.2166905701087,27.1338254023514,0.354352880033094,0.453760217447439,0.00443980681469597
18.GS.C2.setA.UYT.36.OT,2,134.051006036492,198.456337135556,0.433297870184849,0.607499608030238,9.59312412148069e-05
18.GS.C2.setA.UYT.36.UM,2,78.1694430529739,80.8231244436735,0.495631579688196,0.600586897051533,5.26159490031383e-06
18.GS.C2.setB.UYT.36.IB,2,71.1318972425662,115.325416356502,0.358722766208324,0.459262689799998,0.00339926431546365
18.GS.C2.setB.UYT.36.IK,2,41.4494057502243,36.8773589294717,0.544265962034143,0.561863357851625,7.98650065489084e-06
18.GS.C2.setB.UYT.36.KN,2,11.4517671963671,70.2105572988237,0.142250796546183,0.579569440344987,0.211712094115989
18.GS.C2.setB.UYT.36.MK,2,68.6487186182995,120.488602506684,0.370846522404891,0.513055678964301,0.0589715939395522
18.GS.C2.setB.UYT.36.ON,2,29.9796385487713,27.4184486306109,0.541723352845418,0.683142098842679,1.32453333564869e-06
18.GS.C2.setB.UYT.36.OT,2,40.0161319982968,140.324317818773,0.220979426249221,0.669703912753581,0.0330698746580584
18.GS.C2.setB.UYT.36.UM,2,60.1934388308923,94.4572273166564,0.38271561639198,0.449682981273359,0.02168956926776
18.GS.C2.UYT.36.setA.AG,2,55.7401455064959,130.054629676321,0.340021788087544,0.350037926428329,0.133689073898595
18.GS.C2.UYT.36.setB.AG,2,67.235353335799,110.230123968471,0.379785014479946,0.408838335625617,0.0148799408162205
19.GS.C2.UYT.36.setA.AB,2,28.8763768146463,65.6781676756399,0.332832650581861,0.594695120192982,0.167286601543166
19.GS.C2.UYT.36.setA.AG,2,144.855849354938,116.400689657047,0.546310651188314,0.570262991510506,0.00114919065165721
19.GS.C2.UYT.36.setA.IB,2,37.1153297585371,66.9894025945927,0.347902843895874,0.441519746592897,0.0398383095274825
19.GS.C2.UYT.36.setA.IK,2,121.046303820061,235.256969378532,0.381692791306481,0.424586862526912,0.0822063050539392
19.GS.C2.UYT.36.setA.MK,2,3.05323011526581,60.2104301302733,0.0479121900979263,0.47028723050396,0.791690451505682
19.GS.C2.UYT.36.setA.ON,2,3.57598240607044,7.87574723905887,0.333245741289913,0.554583853083104,0.252342454933275
19.GS.C2.UYT.36.setA.UB,2,32.7665571879926,25.1405784792115,0.581096775999837,0.721406838721412,0.000615818336316051
19.GS.C2.UYT.36.setA.ZA,2,5.0416216187268,29.4831709875052,0.151766018988459,0.660445101329996,0.484268847983565
19.GS.C2.UYT.36.setB.AB,2,51.5518089803856,61.2873713727739,0.443620206020426,0.55437612868548,0.00817650718746939
19.GS.C2.UYT.36.setB.AG,2,72.6840023318046,210.761625839276,0.252398450536737,0.347910480599699,0.34895456813818
19.GS.C2.UYT.36.setB.IB,2,49.0959631926264,81.1375733867733,0.375726373554203,0.64852281039057,0.0668989841583514
19.GS.C2.UYT.36.setB.IK,2,204.169524173467,553.527949622527,0.353940770758006,0.437598492836253,0.139662322203925
19.GS.C2.UYT.36.setB.MK,2,18.1844536112176,52.057929908372,0.295321978353795,0.609298251774267,0.22732322431848
19.GS.C2.UYT.36.setB.ON,2,4.19754213723439,19.8780170067457,0.181990503599787,0.517460462415144,0.536326871089003
19.GS.C2.UYT.36.setB.UB,2,26.5544627232593,23.50773579501,0.566619984556323,0.650428433718941,0.00109867495516498
19.GS.C2.UYT.36.setB.ZA,2,3.75398012938095,30.2269246148461,0.109994565181168,0.576899582611726,0.55277300249137
