Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,60,115.171,1.920,18.484,255
scan_2,45,118.723,2.638,19.054,255
scan_3,63,98.308,1.560,15.778,255
scan_4,42,153.242,3.649,24.594,255
scan_5,68,123.644,1.818,19.844,255
scan_6,61,85.992,1.410,13.801,255
scan_7,61,127.816,2.095,20.513,255
scan_8,45,115.116,2.558,18.475,255
scan_9,63,68.470,1.087,10.989,255
scan_10,55,92.208,1.677,14.799,255
scan_1,60,115.171,1.920,18.484,255
scan_2,45,118.723,2.638,19.054,255
scan_3,63,98.308,1.560,15.778,255
scan_4,42,153.242,3.649,24.594,255
scan_5,68,123.644,1.818,19.844,255
scan_6,61,85.992,1.410,13.801,255
scan_7,61,127.816,2.095,20.513,255
scan_8,45,115.116,2.558,18.475,255
scan_9,63,68.470,1.087,10.989,255
scan_10,55,92.208,1.677,14.799,255
